-113.00,37.00
-90.00,39.00
-84.00,27.00
-82.00,17.00
-80.00,20.00
-95.00,34.00
-105.00,36.00
-108.00,36.00
-106.00,37.00
-105.00,36.00
-110.00,36.00
-110.00,40.00
-106.00,39.00
-107.00,38.00
-107.00,41.00
-109.00,40.00
-111.00,41.00
-108.00,42.00
-108.00,42.00
-107.00,41.00
-111.00,42.00
-108.00,44.00
-109.00,45.00
-104.00,47.00
-113.00,49.00
-119.00,48.00
-116.00,46.00
-117.00,49.00
-114.00,52.00
-116.00,47.00
-115.00,45.00
-109.00,47.00
-112.00,43.00
-112.00,41.00
-110.00,43.00
-108.00,39.00
-103.00,40.00
-99.00,42.00
-101.00,43.00
-100.00,44.00
-100.00,42.00
-104.00,41.00
-110.00,43.00
-110.00,47.00
-106.00,43.00
-105.00,37.00
-102.00,35.00
-106.00,33.00
-103.00,34.00
-106.00,35.00
-107.00,33.00
-108.00,33.00
-113.00,24.00
-117.00,24.00
-111.00,28.00
-111.00,34.00
-111.00,32.00
-109.00,34.00
-113.00,37.00
-114.00,37.00
-110.00,36.00
-112.00,27.00
-105.00,31.00
-114.00,36.00
-110.00,37.00
-108.00,42.00
-99.00,44.00
-94.00,41.00
-87.00,42.00
-77.00,37.00
-77.00,28.00
-79.00,29.00
-81.00,27.00
-89.00,28.00
-95.00,32.00
-97.00,33.00
-98.00,37.00
-102.00,35.00
-105.00,32.00
-108.00,31.00
-115.00,23.00
-118.00,15.00
-120.00,12.00
-123.00,4.00
-125.00,15.00
-113.00,35.00
-94.00,40.00
-86.00,36.00
-82.00,30.00
-79.00,27.00
-71.00,22.00
-63.00,15.00
-65.00,7.00
-63.00,4.00
-64.00,-2.00
-66.00,-3.00
-67.00,-4.00
-69.00,-3.00
-69.00,-3.00
-70.00,-6.00
-66.00,-8.00
-69.00,-11.00
-70.00,-12.00
-76.00,-14.00
-81.00,-14.00
-82.00,-15.00
-86.00,-17.00
-97.00,-21.00
-105.00,-20.00
-117.00,-21.00
-125.00,-14.00
-126.00,-9.00
-131.00,-5.00
-125.00,-2.00
-129.00,4.00
-133.00,11.00
-131.00,14.00
-131.00,17.00
-131.00,16.00
-134.00,15.00
-131.00,23.00
-126.00,23.00
-124.00,32.00
-121.00,38.00
-121.00,37.00
-115.00,37.00
-116.00,33.00
-111.00,33.00
-110.00,37.00
-109.00,35.00
-119.00,28.00
-124.00,23.00
-124.00,16.00
-128.00,15.00
-123.00,4.00
-127.00,-3.00
-124.00,-7.00
-122.00,-12.00
-120.00,-20.00
-112.00,-25.00
-109.00,-21.00
-96.00,-23.00
-100.00,-21.00
-93.00,-22.00
-91.00,-19.00
-84.00,-20.00
-83.00,-15.00
-81.00,-10.00
-72.00,-1.00
-74.00,-1.00
-73.00,2.00
-70.00,4.00
-70.00,6.00
-70.00,6.00
-68.00,5.00
-67.00,9.00
-71.00,12.00
-71.00,16.00
-70.00,18.00
-72.00,21.00
-72.00,20.00
-74.00,23.00
-76.00,25.00
-80.00,27.00
-85.00,30.00
-84.00,36.00
-91.00,40.00
-94.00,44.00
-95.00,44.00
-97.00,44.00
-99.00,45.00
-99.00,46.00
-105.00,43.00
-104.00,37.00
-107.00,35.00
-106.00,39.00
-104.00,39.00
-101.00,37.00
-95.00,46.00
-85.00,42.00
-82.00,41.00
-81.00,41.00
-78.00,43.00
-80.00,42.00
-77.00,41.00
-81.00,43.00
-77.00,43.00
-80.00,41.00
-80.00,39.00
-79.00,41.00
-77.00,38.00
-64.00,27.00
-60.00,19.00
-59.00,4.00
-64.00,6.00
-65.00,1.00
-69.00,-7.00
-83.00,-13.00
-87.00,-15.00
-98.00,-16.00
-111.00,-18.00
-118.00,-14.00
-126.00,-9.00
-122.00,-4.00
-123.00,-6.00
-124.00,-6.00
-115.00,-10.00
-111.00,-14.00
-99.00,-15.00
-95.00,-13.00
-87.00,-11.00
-78.00,-3.00
-78.00,-8.00
-78.00,-4.00
-73.00,3.00
-76.00,7.00
-81.00,9.00
-83.00,11.00
-78.00,9.00
-76.00,13.00
-77.00,10.00
-68.00,11.00
-74.00,17.00
-69.00,21.00
-72.00,30.00
-75.00,38.00
-76.00,38.00
-89.00,41.00
-96.00,44.00
-95.00,44.00
